Median Household Income ▼,Zip
236912,94027
228587,92145
200325,91980
187857,94957
182750,94022
180174,94028
176241,94506
172443,90077
170656,94105
167546,94024
167386,95070
166750,95140
166147,94563
163486,92657
163219,94507
162328,94528
157938,90272
157879,91210
156250,90274
154107,95030
153269,94074
152721,95120
152210,91011
150864,92861
149821,95007
149538,92679
147568,94037
145610,94708
145505,95138
144886,94129
144152,94539
142071,90266
138750,90210
138371,94582
137344,94549
137122,92694
136331,94707
135076,96136
134907,94301
133333,95053
133088,94556
132826,94552
132486,94920
132462,94065
131607,90402
131166,92130
131108,94127
130961,95014
128802,94526
128654,95135
128060,91436
127684,94588
126984,92887
126557,94062
126397,95033
125735,92625
125629,92673
125335,94070
125272,93108
124814,90265
124712,92823
124375,95663
123575,94618
123459,92127
122970,94114
122354,94087
121948,94583
121715,91302
121367,94517
121337,94598
121209,94941
121200,94123
120984,92610
120893,95032
120742,90275
120686,92603
120672,93730
120610,94107
120401,94566
120208,95041
120152,91108
119939,92067
119924,92131
119095,94025
118919,95746
118750,91708
118125,94010
117700,95762
117326,91377
116855,95054
116732,90049
115807,94402
114779,94404
114777,92014
114757,95134
114608,91381
114603,94555
114542,95587
113826,93908
113616,94568
113281,94946
113279,94925
112008,92660
111833,94505
111602,94306
111098,91354
110964,92808
110343,91914
110236,95837
110054,92886
109913,91301
109545,96125
109267,92129
108919,95066
108882,91105
108366,95131
108295,94960
108205,95046
107768,94970
107660,94592
107577,94611
107493,95129
107324,95148
107095,95391
106750,90290
106660,95124
106458,90743
106365,91320
106333,94964
105985,94002
105659,91390
105480,94502
105029,90254
104934,90278
104557,93619
104167,95742
104149,92602
104125,92060
103598,92121
103472,94111
103378,94019
103333,94117
103319,90292
103319,95119
103306,91361
102952,94550
102872,95318
102755,92782
102500,92364
102479,95125
102396,93953
102273,91384
102237,94904
102212,92009
102160,92620
102045,92692
102030,92011
101932,94304
101912,94040
101303,92880
101292,92656
101292,95051
100844,94043
100750,94516
100747,91362
100694,92688
100398,91962
100380,92385
100308,95630
100215,94086
100204,94547
100139,95683
100114,94131
100049,91739
99638,93109
99606,91915
99537,93021
99398,90277
99167,95227
98990,95130
98899,95035
98831,91326
98697,92651
98655,91307
98407,91737
98400,95139
98321,94551
98315,91008
98264,92677
98219,93923
98026,95132
97921,91350
97609,91709
97470,92618
96860,95377
96824,90808
96719,94044
96563,93664
96537,94705
96446,93314
96297,92064
96281,94938
96010,90094
95984,92614
95975,91784
95806,92010
95631,90720
95625,93441
95435,95037
95306,92037
95189,94403
94933,93111
94712,93932
94697,92807
94420,94569
94318,92091
94196,92881
94173,93065
93919,91364
93917,92883
93889,92007
93810,94021
93750,94939
93713,92691
93588,93312
93529,93645
93523,93012
93509,91789
93393,95571
93389,94951
93099,92661
93092,91935
93049,94930
92806,92653
92684,92508
92678,95747
92489,94085
92464,95672
92402,92024
92397,92835
92356,94020
92137,93924
92107,94536
92006,94030
91882,94534
91737,93460
91617,91360
91518,95638
91180,92604
90984,95118
90966,91765
90903,95614
90881,95123
90876,92118
90833,92075
90780,91024
90613,90703
90528,91604
90298,92128
90228,92606
90179,93651
89849,91214
89715,94965
89607,94513
89596,91355
89541,92592
89508,91711
89500,90067
89500,94510
89464,94303
89403,93510
89026,92845
88987,95008
88971,90742
88955,91208
88929,91207
88926,91902
88810,94041
88797,94089
88750,93208
88750,94973
88693,94531
88384,92629
88333,95493
88160,92869
88012,94597
87782,95757
87738,95655
87720,93311
87652,94538
87598,94530
87596,96121
87500,95136
87425,92336
87361,92532
87251,90603
87156,95819
87110,92646
87100,95765
87095,90713
86967,92663
86573,90064
86521,94560
86505,93010
86469,92649
86196,94903
86070,94122
86031,95065
85914,92596
