sname,AvgScrRead,AvgScrMath,AvgScrWrite,Zip,TotalSatScore,MedianHouseholdIncome
FAME Public Charter,503,546,505,94560,1554,86521
Envision Academy for Arts & Technology,397,387,395,94612,1179,30879
Alameda Science and Technology Institute,562,590,555,94501,1707,70935
Alameda High,543,573,543,94501,1659,70935
Alameda Community Learning Center,575,593,581,94501,1749,70935
Alternatives in Action,352,350,343,94621,1045,30528
Encinal High,483,504,476,94501,1463,70935
Albany High,572,599,574,94706,1745,81746
REALM Charter High,384,360,386,94710,1130,60952
Berkeley High,583,580,574,94704,1737,30997
Castro Valley High,527,556,524,94546,1607,75500
Emery Secondary,420,433,441,94608,1294,55959
American High,573,608,592,94536,1773,92107
Irvington High,590,634,606,94538,1830,87652
John F. Kennedy High,485,509,485,94538,1479,87652
Mission San Jose High,653,699,671,94539,2023,144152
Washington High,546,587,549,94536,1682,92107
Leadership Public Schools - Hayward,439,490,443,94545,1372,71723
Impact Academy of Arts & Technology,435,451,444,94545,1330,71723
Hayward High,430,440,433,94541,1303,57895
Mt. Eden High,451,471,449,94545,1371,71723
Tennyson High,424,425,427,94544,1276,59699
Granada High,544,567,530,94550,1641,102952
Livermore High,543,554,536,94550,1633,102952
Newark Memorial High,486,498,487,94560,1471,86521
James Logan High,499,522,494,94587,1515,82564
Oakland Unity High,384,396,399,94605,1179,57610
MetWest High,418,387,385,94606,1190,37288
Bay Area Technology,401,428,390,94605,1219,57610
Lighthouse Community Charter High,432,483,447,94621,1362,30528
McClymonds High,355,350,353,94607,1058,34192
American Indian Public High,505,603,514,94607,1622,34192
Coliseum College Prep Academy,373,374,383,94621,1130,30528
Oakland Charter High,520,583,524,94601,1627,39601
ARISE High,359,367,369,94601,1095,39601
Oakland International High,308,352,327,94609,987,56378
Aspire Golden State College Preparatory Academy,376,371,383,94610,1130,73850
Castlemont High,355,348,351,94605,1054,57610
Fremont High,399,398,392,94601,1189,39601
LIFE Academy,378,374,377,94601,1129,39601
"Oakland Military Institute, College Preparatory Ac",417,429,418,NA,1264,NA
Aspire Lionel Wilson College Preparatory Academy,391,416,410,94603,1217,40962
Oakland High,414,436,417,94610,1267,73850
Oakland Technical High,515,520,503,94611,1538,107577
Skyline High,447,446,447,94619,1340,78676
Oakland School for the Arts,529,470,523,94612,1522,30879
Piedmont High,621,629,625,94611,1875,107577
San Leandro High,461,462,460,94577,1383,64660
East Bay Arts High,423,422,418,94541,1263,57895
KIPP King Collegiate High,482,475,478,94580,1435,71177
Arroyo High,489,521,479,94580,1489,71177
San Lorenzo High,423,447,426,94580,1296,71177
Dublin High,534,565,533,94568,1632,113616
Foothill High,585,607,587,94566,1779,120401
Amador Valley High,596,614,592,94566,1802,120401
Livermore Valley Charter Preparatory High,516,523,515,94551,1554,98321
Amador High,532,523,504,95685,1559,60648
Argonaut High,508,492,502,95642,1502,43981
CORE Butte Charter,532,462,485,95928,1479,45906
Biggs High,433,429,406,95917,1268,44500
Inspire School of Arts and Sciences,602,552,562,95926,1716,37296
Chico High,543,549,521,95926,1613,37296
Pleasant Valley High,526,555,508,95926,1589,37296
Durham High,498,484,472,95938,1454,60750
Las Plumas High,511,522,489,95966,1522,40775
Oroville High,464,485,446,95966,1395,40775
Paradise Senior High,526,545,504,95969,1575,41982
Gridley High,498,491,497,95948,1486,44423
Bret Harte Union High,547,550,541,95221,1638,NA
Calaveras High,513,503,485,95249,1501,41458
Colusa High,472,501,454,95932,1427,46453
Maxwell Jr/Sr High,466,442,449,NA,1357,NA
Pierce High,458,443,432,95912,1333,50764
Williams Junior/Senior High,467,448,474,95987,1389,55355
Making Waves Academy,454,478,452,94806,1384,52173
Clayton Valley Charter High,512,508,501,94521,1521,84819
Acalanes High,586,604,587,94549,1777,137344
Campolindo High,603,617,616,94556,1836,133088
Las Lomas High,565,554,560,94596,1679,78856
Miramonte High,628,633,633,94563,1894,166147
Dozier-Libbey Medical High,496,485,495,94531,1476,88693
Deer Valley High,478,477,464,94531,1419,88693
Antioch High,477,465,463,94509,1405,54372
John Swett High,477,512,485,94525,1474,81667
Heritage High,520,510,511,94513,1541,89607
Freedom High,470,455,464,94561,1389,77706
Liberty High,479,479,476,94513,1434,89607
Alhambra Senior High,518,543,523,94553,1584,76669
Northgate High,568,586,566,94598,1720,121337
College Park High,540,558,527,94523,1625,81685
Concord High,491,505,488,94521,1484,84819
Mt. Diablo High,437,436,436,94520,1309,47656
Ygnacio Valley High,458,455,451,94518,1364,73040
Pittsburg Senior High,446,436,442,94565,1324,55865
Leadership Public Schools: Richmond,394,413,410,94801,1217,38856
North Campus Continuation,324,307,328,94806,959,52173
Middle College High,500,526,509,94806,1535,52173
Vista High (Alternative),393,378,404,94806,1175,52173
Hercules High,451,454,454,94547,1359,100204
De Anza Senior High,399,395,409,NA,1203,NA
El Cerrito Senior High,444,445,439,NA,1328,NA
Gompers (Samuel) Continuation,314,289,312,NA,915,NA
Kennedy High,346,345,348,NA,1039,NA
Pinole Valley High,426,417,422,94564,1265,74283
Richmond High,357,354,358,94804,1069,49541
Dougherty Valley High,604,651,613,94582,1868,138371
California High,576,606,571,94583,1753,121948
Venture (Alternative),559,539,523,94582,1621,138371
Monte Vista High,566,591,566,94526,1723,128802
San Ramon Valley High,574,587,567,94526,1728,128802
Del Norte High,476,510,464,95531,1450,41136
Charter Community School Home Study Academy,564,550,527,95667,1641,55710
Oak Ridge High,546,570,542,95762,1658,117700
Union Mine High,533,517,498,95623,1548,55878
El Dorado High,534,522,516,95667,1572,55710
Ponderosa High,539,564,527,95682,1630,77416
South Tahoe High,503,502,488,96150,1493,47500
Golden Sierra Junior Senior High,537,541,514,95633,1592,70938
Clovis North High,524,535,519,93730,1578,120672
Clovis West High,508,526,507,93720,1541,77092
Buchanan High,522,524,507,93611,1553,77930
Clovis East High,467,471,455,93611,1393,77930
Clovis High,484,492,477,93611,1453,77930
Coalinga High,465,446,455,93210,1366,50290
Fowler High,424,417,423,93625,1264,42250
Design Science Early College High,487,502,468,NA,1457,NA
University High,604,587,593,93740,1784,NA
Bullard High,473,463,460,93704,1396,48461
Erma Duncan Polytechnical High,396,418,389,93726,1203,32471
Sunnyside High,403,411,399,93727,1213,46394
Edison High,471,470,458,93706,1399,29197
Fresno High,424,428,416,93704,1268,48461
Herbert Hoover High,415,417,401,93710,1233,42844
McLane High,370,388,376,93703,1134,28406
Roosevelt High,377,384,379,93702,1140,26031
Kingsburg High,487,481,471,93631,1439,58381
Orange Cove High,393,395,405,93646,1193,27914
Reedley High,456,462,448,93654,1366,47882
Parlier High,387,398,386,93648,1171,32175
Hallmark Charter,475,445,460,93657,1380,49785
Sanger High,434,446,430,93657,1310,49785
Selma High,434,422,425,93662,1281,43442
Firebaugh High,401,373,396,93622,1170,32125
Central High East Campus,451,449,449,93722,1349,54381
Kerman High,434,426,425,93630,1285,42303
Mendota High,385,395,378,93640,1158,25741
Tranquillity High,375,402,386,93668,1163,38665
Sierra High,522,500,501,93667,1523,53385
Riverdale High,422,424,429,93656,1275,45485
Caruthers High,413,422,397,NA,1232,NA
Willows High,459,473,468,95988,1400,48443
Orland High,498,480,480,95963,1458,39485
Hamilton High,456,465,466,95951,1387,37500
Northcoast Preparatory and Performing Arts Academy,620,534,579,95521,1733,32711
Six Rivers Charter High,531,528,472,95521,1531,32711
Arcata High,574,555,540,95521,1669,32711
McKinleyville High,501,500,486,95519,1487,50051
Academy of the Redwoods,577,542,524,95501,1643,38175
Fortuna Union High,491,493,480,95540,1464,42655
Hoopa Valley High,470,440,442,95546,1352,26281
South Fork Junior - Senior High,544,509,499,95553,1552,41393
Ferndale High,507,520,511,95536,1538,50227
Eureka Senior High,517,523,502,95501,1542,38175
Brawley High,452,451,442,NA,1345,NA
Calexico High,431,432,425,92231,1288,34733
Calipatria High,464,453,446,92233,1363,32328
Southwest High,476,482,468,92243,1426,42206
Central Union High,468,486,464,92243,1418,42206
Holtville High,441,451,434,92250,1326,43264
Imperial High,495,494,474,92251,1463,76526
Bishop Union High,494,506,476,93514,1476,51250
Paramount Academy,373,390,377,NA,1140,NA
Valley Oaks Charter,499,476,502,93301,1477,30963
Cesar E. Chavez High,439,463,439,93215,1341,36321
Robert F. Kennedy High,443,449,449,93215,1341,36321
Delano High,436,453,422,93215,1311,36321
Golden Valley High,431,425,424,93307,1280,34358
Frontier High,486,503,475,93314,1464,96446
Mira Monte High,398,406,403,93307,1207,34358
Arvin High,420,424,417,93203,1261,35429
Stockdale High,524,548,520,93311,1592,87720
Centennial High,509,519,489,93312,1517,93588
Ridgeview High,436,443,421,93313,1300,64803
Bakersfield High,486,492,457,93301,1435,30963
East Bakersfield High,425,429,435,93306,1289,52203
Highland High,470,454,445,93306,1369,52203
Kern Valley High,482,464,467,93240,1413,26054
North High,467,460,443,93308,1370,41737
Shafter High,442,464,440,93263,1346,40833
South High,417,420,400,93304,1237,35150
West High,450,455,432,93309,1337,47369
California City High,445,431,424,93505,1300,57731
Desert Junior-Senior High,502,505,489,93523,1496,53456
Rosamond High,465,471,463,NA,1399,NA
Taft Union High,464,471,452,93268,1387,46615
Tehachapi High,528,518,501,93561,1547,60513
Wasco High,432,448,433,93280,1313,39206
Burroughs High,518,536,514,93555,1568,62533
McFarland High,407,420,394,NA,1221,NA
Frazier Mountain High,473,469,443,93243,1385,60724
Corcoran High,443,446,431,93212,1320,34565
Sierra Pacific High,481,483,464,93230,1428,53008
Hanford West High,448,454,450,93230,1352,53008
Hanford High,460,449,436,93230,1345,53008
Lemoore Middle College High,485,468,464,93245,1417,51280
Lemoore High,470,468,459,93245,1397,51280
Avenal High,376,357,372,93204,1105,29302
Kelseyville High,500,468,491,95451,1459,45392
Lower Lake High,463,457,459,95457,1379,42829
Clear Lake High,500,511,497,95453,1508,45299
Middletown High,507,518,489,95461,1514,52143
Upper Lake High,450,412,436,95485,1298,29708
Lassen High,492,507,484,96130,1483,54527
Academia Avance Charter,380,386,382,90042,1148,51427
Los Angeles International Charter High,401,420,428,NA,1249,NA
L.A. County High School for the Arts,565,509,570,90032,1644,45208
International Polytechnic High,508,519,495,91768,1522,47177
